"plant_group","taxon","calories","protein"
"roses","Alniaria",40,16
"roses","Hedlundia",71,32
"roses","Phippsiomeles",65,25
"roses","Malus x Pyrus",67,26
"roses","Lindleyella",54,18
"roses","Pourthiaea",55,19
"roses","Micromeles",57,21
"roses","x Amelasorbus",41,14
"roses","x Sorbaronia",88,38
"roses","Hesperomeles",83,32
"roses","Chamaemeles",82,32
"roses","x Crataemespilus",17,5
"roses","Torminalis",32,12
"roses","Stranvaesia",16,9
"roses","Eriolobus",20,10
"roses","Docyniopsis",17,9
"roses","Dichotomanthes",20,11
"roses","Chamaemespilus",32,12
"roses","Aronia",35,14
"roses","Docynia",34,16
"roses","Pyracantha",35,18
"roses","Rhaphiolepis",38,17
"roses","Pseudocydonia",32,12
"roses","Coleogyne",17,9
"roses","Kerria",20,11
"roses","Rhodotypos",25,13
"roses","Neviusia",32,12
"roses","Oemleria",17,8
"roses","Prinsepia",20,10
"roses","Exochorda",23,10
"roses","Pentactina",20,8
"roses","Petrophytum",25,12
"roses","Xerospiraea",34,16
"roses","Kelseya",34,17
"roses","Luetkea",37,19
"roses","Sibiraea",60,31
"roses","Spiraea",42,25
"roses","Holodiscus",44,27
"roses","Aruncus",60,31
"roses","Spiraeanthus",35,8
"roses","Sorbaria",34,8
"roses","Chamaebatiaria",34,8
"roses","Adenostoma",15,3.5
"roses","Stephanandra",14,7
"roses","Physocarpus",15,3.5
"roses","Neillia",17,6
"roses","Pygeum",49,26
"roses","Prunus",49,25
"roses","x Comagaria",49,25
"roses","Chamaecallis",49,25
"roses","Schistophyllidium",57,29
"roses","Sibbaldiopsis",30,12
"roses","Sibbaldianthe",27,9
"roses","Drymocallis",27,9
"roses","Dasiphora",71,36
"roses","Lachemilla",76,36
"roses","Comarum",43,21
"roses","Potaninia",32,14
"roses","Sibbaldia",26,14
"roses","Aphanes",41,17
"roses","Chamaerhodos",21,11
"roses","Alchemilla",42,17
"roses","Fragaria",43,21
"roses","Spenceria",56,20
"roses","Leucosidea",58,21
"roses","Hagenia",54,19
"roses","Aremonia",48,24
"roses","Agrimonia",19,8
"roses","Tetraglochin",52,25
"roses","Poteridium",62,34
"roses","Poterium",38,15
"roses","Margyricarpus",29,17
"roses","Sarcopoterium",65,34
"roses","Polylepis",54,19
"roses","Marcetella",27,10
"roses","Dendriopoterium",58,26
"roses","Cliffortia",47,20
"roses","Bencomia",54,27
"roses","Acaena",27,13
"roses","Sanguisorba",44,21
"mints","Cornutia",38,3.7
"mints","Premna",84,4.6
"mints","Gmelina",113,7
"mints","Tectona",75,5.5
"mints","Acrymia",92,4.6
"mints","Cymaria",54,2.5
"mints","Garrettia",30,1.5
"mints","Hymenopyramis",51,2.5
"mints","Petraeovitex",43,2.5
"mints","Peronema",77,5.1
"mints","Callicarpa",38,1.5
"mints","Symphorema",62,3.2
"mints","Sphenodesme",53,4.2
"mints","Congea",70,3.3
"mints","Xatardia",25,1.3
"mints","Pseudocarpidium",29,2.4
"mints","Paravitex",64,3.7
"mints","Viticipremna",58,4.8
"mints","Teijsmanniodendron",74,3.9
"mints","Vitex",35,1.5
"mints","Petitia",38,2.3
"mints","Renschia",48,2.5
"mints","Wenchengia",58,2.9
"mints","Holmskioldia",52,4
"mints","Tinnea",68,3.1
"mints","Scutellaria",57,2.8
"mints","Kinostemon",53,2.5
"mints","Clerodendranthus",53,3.1
"mints","Spartothamnella",67,3.2
"mints","Cardioteucris",56,4.1
"mints","Teucridium",73,3.2
"mints","Faradaya",69,3.8
"mints","Oncinocalyx",63,4.8
"mints","Tripora",80,3.9
"mints","Amethystea",37,2.8
"mints","Pseudocaryopteris",48,3.8
"mints","Caryopteris",76,5.8
"mints","Trichostema",121,9.4
"mints","Ajuga",151,11.5
"mints","Rubiteucris",243,18.6
"mints","Schnabelia",18,1
"mints","Teucrium",27,1.5
"mints","Hosea",44,2.4
"mints","Ovieda",89,4.9
"mints","Volkameria",177,9.8
"mints","Aegiphila",64,3.9
"mints","Kalaharia",96,5.8
"mints","Amasonia",160,9.7
"mints","Tetraclea",14,0.7
"mints","Oxera",27,3.1
"mints","Clerodendrum",49,3.3
"mints","Discretitheca",19,1.4
"mints","Glossocarya",32,4.2
"mints","Rotheca",49,3.3
"mints","Karomia",22,0.8
"mints","Vuhuangia",35,3.7
"mints","Perillula",52,2.8
